id,hospital_1,hospital_2,subway_1,subway_2,school_1,school_2
6037211803.0,1.0,5.0,2,2,1,1
6037211804.0,2.0,7.0,2,3,1,1
6037211910.0,2.0,4.0,2,3,2,2
6037211921.0,2.0,4.0,2,3,1,2
6037211922.0,3.0,3.0,2,3,2,2
6037212101.0,3.0,4.0,1,3,1,1
6037212102.0,2.0,5.0,1,4,1,2
6037212202.0,5.0,7.0,4,4,1,1
6037212203.0,3.0,5.0,1,4,1,1
6037212204.0,3.0,7.0,2,4,1,1
6037212303.0,4.0,4.0,1,3,1,1
6037212304.0,2.0,6.0,1,3,1,1
6037212305.0,3.0,7.0,3,4,1,1
6037212306.0,5.0,6.0,3,4,1,1
6037212410.0,1.0,7.0,1,2,2,2
6037212420.0,2.0,6.0,2,3,1,1
6037212501.0,3.0,6.0,2,3,1,1
6037212502.0,2.0,7.0,1,2,2,2
6037212610.0,3.0,8.0,1,4,1,1
6037212620.0,4.0,7.0,2,5,1,1
6037212701.0,5.0,6.0,3,6,1,1
6037212702.0,5.0,5.0,4,6,1,1
6037213201.0,4.0,5.0,3,4,1,1
6037213202.0,4.0,4.0,4,4,1,1
6037213310.0,4.0,7.0,4,5,1,1
6037213320.0,5.0,7.0,4,5,1,1
6037213401.0,5.0,7.0,4,4,1,1
6037213402.0,6.0,6.0,4,5,1,1
6037214501.0,2.0,2.0,6,6,1,3
6037214502.0,2.0,2.0,6,6,1,2
6037214503.0,2.0,2.0,6,6,1,2
6037214901.0,1.0,1.0,5,7,2,2
6037214902.0,1.0,1.0,6,7,2,2
6037215101.0,1.0,1.0,5,5,1,2
6037215102.0,2.0,2.0,5,6,1,1
6037216401.0,2.0,2.0,4,6,1,2
6037216402.0,3.0,3.0,4,7,2,2
6037217001.0,3.0,3.0,3,7,1,2
6037217002.0,2.0,3.0,3,7,1,1
6037218110.0,5.0,6.0,3,4,1,1
6037218120.0,4.0,7.0,4,5,1,1
6037218210.0,5.0,5.0,3,4,1,1
6037218220.0,5.0,5.0,2,3,1,1
6037218701.0,5.0,6.0,2,3,1,1
6037218702.0,5.0,6.0,1,2,1,1
6037219010.0,3.0,9.0,3,4,1,1
6037219020.0,4.0,9.0,3,4,1,1
6037219901.0,4.0,4.0,1,2,1,1
6037219902.0,4.0,4.0,1,3,1,1
6037221110.0,7.0,7.0,5,6,1,1
6037221120.0,6.0,8.0,6,6,1,1
6037221210.0,4.0,5.0,5,5,1,1
6037221220.0,6.0,6.0,6,6,1,1
6037221302.0,2.0,6.0,5,6,1,1
6037221303.0,3.0,5.0,5,5,1,2
6037221304.0,3.0,6.0,5,6,1,2
6037221401.0,1.0,8.0,4,5,1,1
6037221402.0,1.0,7.0,6,7,1,1
6037221601.0,6.0,8.0,4,5,1,1
6037221602.0,5.0,7.0,5,6,1,1
6037221710.0,4.0,6.0,4,5,1,1
6037221810.0,5.0,7.0,3,4,1,1
6037221820.0,4.0,6.0,4,4,1,1
6037222002.0,9.0,11.0,1,4,1,1
6037224010.0,1.0,1.0,2,2,1,1
6037224020.0,2.0,3.0,1,1,1,1
6037224310.0,5.0,6.0,4,5,1,1
6037224320.0,4.0,5.0,4,4,1,1
6037224410.0,3.0,4.0,3,3,1,1
6037224420.0,1.0,4.0,1,3,1,1
6037226001.0,5.0,6.0,1,2,1,1
6037226002.0,7.0,7.0,2,2,1,1
6037226410.0,3.0,4.0,2,2,1,1
6037226420.0,4.0,5.0,1,2,1,1
6037227010.0,6.0,7.0,1,2,1,1
6037227020.0,6.0,7.0,2,3,1,1
6037228210.0,7.0,8.0,4,4,1,1
6037228220.0,5.0,9.0,2,4,1,1
6037228310.0,5.0,7.0,4,5,1,1
6037228320.0,5.0,8.0,5,5,1,1
6037228410.0,3.0,7.0,3,3,1,1
6037228420.0,5.0,9.0,4,5,1,1
6037228710.0,5.0,8.0,2,4,1,1
6037228720.0,4.0,9.0,1,3,1,1
6037229410.0,9.0,9.0,6,8,1,1
6037229420.0,7.0,8.0,4,6,1,1
6037231210.0,6.0,10.0,1,2,1,1
6037231220.0,5.0,9.0,1,1,1,1
6037231710.0,7.0,11.0,3,3,1,1
6037231720.0,8.0,12.0,4,4,1,1
6037232110.0,8.0,12.0,4,4,1,1
6037232120.0,8.0,12.0,4,4,1,1
6037234501.0,7.0,8.0,8,8,1,1
6037234502.0,7.0,8.0,7,8,1,1
6037234901.0,5.0,6.0,7,7,1,1
6037234902.0,4.0,5.0,6,6,1,1
6037235201.0,5.0,5.0,5,7,1,1
6037235202.0,4.0,4.0,6,6,1,1
6037236202.0,6.0,6.0,2,3,1,1
6037236203.0,6.0,6.0,1,2,1,1
6037236204.0,5.0,6.0,2,2,1,1
6037237101.0,15.0,15.0,12,12,1,1
6037237102.0,14.0,14.0,11,12,1,1
6037237201.0,16.0,16.0,12,12,1,1
6037237202.0,7.0,7.0,7,9,1,1
6037237401.0,15.0,15.0,11,11,1,1
6037237402.0,15.0,16.0,11,11,1,1
6037237710.0,14.0,14.0,10,10,1,1
6037237720.0,13.0,15.0,9,9,1,1
6037238310.0,12.0,14.0,8,8,1,1
6037238320.0,12.0,14.0,8,8,1,1
6037239201.0,12.0,12.0,9,10,1,1
6037239202.0,9.0,10.0,6,8,1,1
6037239310.0,12.0,13.0,9,9,1,1
6037239320.0,11.0,12.0,8,8,1,1
6037239330.0,10.0,11.0,7,7,1,2
6037239501.0,11.0,11.0,6,7,1,1
6037239502.0,11.0,11.0,6,7,1,1
6037239601.0,12.0,12.0,8,8,1,1
6037239602.0,11.0,13.0,7,7,1,1
6037239701.0,11.0,13.0,7,7,1,1
6037239702.0,10.0,12.0,6,6,1,1
6037239801.0,11.0,11.0,6,7,1,1
6037239802.0,10.0,10.0,5,6,1,1
6037240010.0,9.0,9.0,6,6,1,1
6037240020.0,8.0,8.0,5,5,1,1
6037240401.0,8.0,11.0,4,4,1,1
6037240402.0,7.0,10.0,3,3,1,1
6037241001.0,7.0,7.0,1,3,1,1
6037241002.0,6.0,7.0,1,5,1,1
6037241110.0,6.0,8.0,2,3,1,1
6037241120.0,5.0,9.0,1,3,1,1
6037241201.0,6.0,10.0,2,2,1,1
6037241202.0,5.0,11.0,1,1,1,1
6037261101.0,3.0,3.0,3,4,1,1
6037261102.0,4.0,4.0,4,4,1,2
6037262301.0,3.0,5.0,8,9,1,1
6037262302.0,3.0,5.0,9,10,1,1
6037262303.0,4.0,4.0,9,10,1,1
6037262501.0,5.0,5.0,8,9,1,1
6037262601.0,5.0,5.0,6,7,1,1
6037262604.0,5.0,6.0,7,8,1,1
6037262704.0,6.0,6.0,7,8,1,1
6037262706.0,4.0,5.0,9,10,1,1
6037262802.0,3.0,4.0,11,12,1,1
6037264102.0,3.0,3.0,10,11,1,1
6037264103.0,3.0,3.0,11,12,1,2
6037264301.0,2.0,4.0,11,12,1,1
6037264302.0,2.0,3.0,12,13,1,2
6037265201.0,2.0,4.0,9,13,1,1
6037265202.0,1.0,3.0,10,12,1,2
6037265303.0,1.0,4.0,10,11,1,3
6037265304.0,1.0,4.0,11,11,2,3
6037265305.0,1.0,3.0,10,11,2,2
6037265410.0,2.0,4.0,10,11,1,2
6037265420.0,2.0,5.0,10,11,1,3
