tract_id,house_num,shape_area,shape_length,shape_area_c,shape_length_c,target
671300,627.0,1331268.468122095,111173.22380852094,1248126.1685352845,103716.84077082784,1
671600,403.0,906577.515541157,78932.6287296968,837077.23557354,72524.76238550228,1
681300,382.0,892600.6018216368,77230.44897384624,833084.3961886764,72177.82051140406,1
690300,176.0,604343.7933857443,39882.36774015392,576361.9934340233,37749.64248711091,1
691500,296.0,924561.7016016672,63532.21399886579,853305.840087279,58201.11693690994,1
710100,445.0,1127382.747155411,89960.42264824643,1071599.5982344244,85420.72385279764,1
710500,783.0,1703486.1986111552,146329.61220245162,1595518.6056807928,136567.6935654223,1
710600,639.0,1773558.0603465252,134510.72552654598,1630915.8268463972,124429.42175335452,1
710700,924.0,2293138.9537395053,182923.4215604075,2149645.199356877,171469.214250842,1
710800,956.0,2596457.422209928,197704.3725070636,2448488.10393717,186137.10590954224,1
711000,942.0,1752387.720652149,159529.1088455632,1662521.288925255,150972.29802886184,1
711400,732.0,1252320.2947947308,121772.0897831974,1193811.123719297,116264.138897436,1
750100,689.0,1080439.7511421386,105760.18729010438,1037246.2508999526,101429.30560978144,1
81900,118.0,1971162.3333089496,61034.8392869519,1785986.829976766,56191.229624029125,1
834200,664.0,1571569.518678548,129454.94546969736,1482534.4705040418,122671.8627178956,1
834400,290.0,1042611.1566410032,66364.2460838666,961173.0353837684,60694.77670590671,1
834500,162.0,912188.6645653156,48294.195220984846,849199.1287686288,44899.47997038202,1
834600,204.0,429776.9274098442,36546.9720581981,396421.8830094642,34162.54187603245,1
834800,325.0,1146014.0453268443,70948.86839501186,1076766.7246666434,66545.86615944131,1
835000,878.0,1969602.1574860085,166020.9357417758,1838771.274290926,154900.5418936535,1
835200,251.0,2862509.6854252666,68096.37221754737,2607870.978252676,63081.90020027022,1
835500,309.0,758833.4266296456,60330.73018872566,723048.951165164,57093.01613186576,1
835600,116.0,379485.2806876338,24771.557716985608,363309.1126081633,23555.029028114237,1
835700,96.0,646019.1058774756,31721.826390342787,606790.4810378512,29607.70993366531,1
835900,187.0,955005.0820987652,54046.76132188593,879932.0251357845,49586.416476327664,1
836500,4.0,49185.54932752437,1710.224980449069,47535.73273739182,1632.8426899352612,1
836800,121.0,645161.7708405426,29571.19274638616,586317.7549089597,26864.412489289258,1
836900,197.0,1372434.6173379067,56072.75059468558,1295359.8546497382,52130.52324010951,1
837000,316.0,1006079.423039252,65063.5144996453,936237.8452005924,60244.12139393546,1
837100,251.0,1663348.4991139197,69110.66840569841,1557735.444090007,64086.7330771506,1
838100,50.0,2370754.561220751,42401.4393497229,2160429.4475780213,38547.48844201161,1
838300,108.0,1538943.7339706605,52740.26293573565,1429496.199291917,49134.39601780316,1
838600,190.0,962171.9552161526,50543.83269065889,896927.3497777443,46685.61887899577,1
838800,17.0,71713.48803496729,4492.285595460667,68464.02071041972,4260.506938171046,1
840100,924.0,1914195.8611373089,164213.60422283848,1779355.20041332,151216.46192349444,1
840400,599.0,1747181.4779539795,113308.88481497334,1641979.3702368771,104949.68284523308,1
840700,686.0,1872371.397189371,131187.6566847491,1724619.2175915358,120429.94944525816,1
840800,1019.0,1956533.3321925823,176005.33985507098,1814234.864310431,162345.02035313263,1
841200,532.0,1328298.8416367488,96900.60396532486,1209418.7769612465,87634.29048139157,1
841300,95.0,2216525.023997031,47662.096710644095,2092661.8173165687,44346.93743633943,1
842100,422.0,2083776.173355682,87887.8719020805,1964920.0951806805,81250.98542801864,1
842500,38.0,232549.47318874497,11376.87961961788,220628.9892129722,10725.12637793477,1
842900,28.0,437871.9383563753,15085.016552321886,405152.6385249589,13932.469466279936,1
843200,70.0,2201566.8095071106,44161.59662025257,2066833.3857757496,41421.988982201074,1
843300,185.0,2216144.472320149,66196.46763820015,2091282.852921649,62284.59600496206,1
843400,517.0,1560920.5079789914,97819.7997282142,1446811.57617308,89920.06088909584,1
843500,123.0,2046081.03712016,56578.625090196016,1890737.1634281613,52507.5594692302,1
10201,455.0,1895879.0473866817,119894.62179621668,1771232.6369782255,111565.86352754945,0
10202,251.0,1691946.1983081887,73104.07602520232,1563788.3028492257,67447.51400272497,0
10300,253.0,1538230.8893172983,78344.32799757301,1423119.3646889187,72304.33452434921,0
10400,93.0,744669.8650790509,33168.62265356795,662091.1082138905,29442.466776062643,0
10503,332.0,1770017.6145899503,94958.3014380321,1604227.4081841612,86475.64541562443,0
10600,279.0,1820970.3112608213,93192.40151220185,1665321.808931862,85612.32592298972,0
130100,385.0,709233.5243248532,65223.56480372,664742.217916667,60999.63217733664,0
140100,411.0,1535178.285538582,99497.47162624673,1448507.7847925208,93230.3966474991,0
140200,562.0,2424776.063719304,138638.76515005628,2263912.784380312,129385.71748546616,0
140601,930.0,2031983.3644831628,166362.27776738338,1882667.3506266775,153388.78382085075,0
151001,1055.0,1728954.5638993925,161099.11503391768,1641731.592944198,152973.65274989416,0
151002,984.0,1902038.980355248,163835.54998176132,1811070.6610269644,155628.36638599448,0
160400,681.0,1468571.7481064554,128935.3058217842,1359641.1052309258,119347.50616566304,0
161300,785.0,1776115.02660249,139000.23184373265,1650295.281966189,128881.698523595,0
170100,48.0,1164142.0966728088,27890.607496250068,1124244.4809917724,26710.55829198621,0
170900,1004.0,1547956.595114065,159202.0029414572,1473136.885796426,151182.73261220648,0
190402,1459.0,2756783.7549359305,246453.3048424797,2613299.0229371106,233845.3542574332,0
190601,688.0,1060340.24644555,110868.78467852093,987905.1179993316,103024.00599270662,0
190701,1179.0,2377282.6866230173,193540.63481988935,2226040.933714586,181035.5343843238,0
190702,1131.0,1915517.708806112,176973.8768459662,1799750.88382001,165761.24419058784,0
190800,1232.0,2144982.941035631,192121.2746205778,2041744.0193888624,182089.0676588512,0
190900,694.0,1250061.5570877702,109823.89693507557,1177401.7258414193,103049.66299707156,0
191100,1098.0,2076016.920215665,187417.39928925797,1949737.557109348,177050.5165156859,0
191200,621.0,2290883.070037803,121126.45309372412,2156697.566524433,114311.62303761112,0
191301,749.0,2029913.171699245,137672.2924097328,1870770.2505041808,127170.4028356013,0
191302,1071.0,2883122.4760822365,190307.74278607863,2672108.923880231,177334.910287079,0
200100,1057.0,2324141.4882910205,190556.0330727048,2177893.6083738985,178344.21757081334,0
200200,702.0,2501422.1312932363,140452.49977735186,2328040.9148549098,130313.72141691012,0
200300,953.0,1929306.4770617804,171478.96091659466,1769888.1021322354,157854.5442469969,0
200401,798.0,2565712.8215119187,152490.1073085821,2389253.124025016,140499.45294964037,0
200402,819.0,1961355.3479082608,153503.2295473612,1793921.0515854724,139966.1095913477,0
20100,433.0,1846801.620169746,115469.51999185824,1726929.9730555513,108061.25064221944,0
20500,322.0,1128114.3588932774,77244.72073680107,1062126.620324568,72501.01610895351,0
20601,879.0,2224447.79960122,174970.15645846858,2117661.464934817,166473.1148314072,0
20702,893.0,2046004.3548359536,172546.82996330294,1940204.0677416704,164169.3607384525,0
20801,1258.0,2348380.0255343355,226205.0956545972,2220182.044259069,213327.83313476836,0
20802,980.0,2272731.896082854,192916.7849572693,2153168.664930613,182286.7504968176,0
20902,216.0,1896058.8954021467,83280.49663693627,1778045.9961849735,78505.08485720253,0
210400,627.0,2571029.211648768,124060.9912497352,2370637.9325471064,113813.38585743876,0
221000,554.0,982383.2512636556,88010.54293942859,888965.4379385562,79309.17580803661,0
222800,606.0,1492101.8612189018,113549.82144171876,1376291.442992713,103850.42598919298,0
230200,626.0,1753979.7877867855,125783.96947388595,1618016.809371489,115406.75987689484,0
230300,661.0,1554236.3246926367,123195.74022873562,1428698.82576215,112337.3783449316,0
230600,711.0,1756685.3683764644,126817.74332441196,1611096.3530326644,116027.15586522403,0
230700,796.0,1708020.722411834,151277.0734388117,1562393.2286754418,137819.28557328053,0
231100,775.0,1702421.5055812935,141223.952136721,1587509.2082428343,130773.66854735174,0
231200,652.0,1108094.435130211,117829.8205017088,1004715.1576855688,106505.98474148707,0
231500,487.0,1040033.5356844215,93393.84634527015,959189.2965293104,85989.07856974483,0
240800,482.0,1279811.041833822,98119.15625490317,1186690.4760881672,90215.8362613182,0
240900,221.0,835918.73096228,50105.815278036025,768118.2712329607,45737.58774222682,0
242700,476.0,1315442.8325520365,98705.82378718132,1215543.739879302,91243.65783009742,0
250200,816.0,2485932.3418538272,139992.34025025438,2332920.405761269,131739.13625410318,0
250300,1030.0,1593121.0288549736,168092.30195746664,1502497.4984686528,157885.4239281959,0
250400,874.0,2681967.98352477,157558.4338413701,2526139.785464192,148385.26518841414,0
250600,1290.0,2647315.971762629,227066.29782491457,2522729.902024972,215915.34387371183,0
250700,1297.0,2506653.745198649,223012.17871452664,2377687.4874607394,211105.901131813,0
250800,726.0,2146445.3671203186,129747.28355716006,2044135.7579660465,123243.5309941074,0
251000,356.0,3079346.345502933,99827.85102845875,2827304.517930676,92186.1857026471,0
251200,1008.0,1582191.4277570962,157868.26391374128,1506790.3136309714,150175.83388057828,0
