,Own children of the householder 6 to 17 years,Median household income (dollars),Mean household income (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,Total households,Total population,relation_max_fee,relation_min_fee,TRACTCE10,INTPTLAT,INTPTLONG,label
195,555.0,58776.0,74020.0,1940.0,1080.0,3905.0,1290.0,3905.0,1088.0,948.0,160502.0,41.96,-87.71,0.0
196,327.0,67113.0,78836.0,2091.0,1072.0,3664.0,1325.0,3674.0,1280.0,948.0,160601.0,41.96,-87.7,0.0
197,515.0,59821.0,73661.0,2450.0,987.0,3679.0,1443.0,3679.0,1363.0,1064.0,160602.0,41.96,-87.7,0.0
198,568.0,65281.0,88090.0,1958.0,1280.0,6364.0,2251.0,6533.0,1211.0,987.0,160700.0,41.95,-87.7,0.0
199,620.0,57261.0,74380.0,2262.0,1088.0,5164.0,1859.0,5164.0,1280.0,984.0,160800.0,41.95,-87.71,0.0
200,335.0,80551.0,91897.0,2503.0,984.0,2464.0,1048.0,2470.0,1118.0,925.0,160900.0,41.95,-87.72,0.0
201,215.0,73342.0,100534.0,2943.0,1118.0,2022.0,809.0,2027.0,1334.0,925.0,161000.0,41.95,-87.73,0.0
202,339.0,101848.0,155564.0,2713.0,1334.0,1935.0,746.0,1935.0,1118.0,889.0,161100.0,41.95,-87.74,0.0
203,385.0,61466.0,78071.0,1911.0,1050.0,3021.0,946.0,3021.0,1334.0,880.0,161200.0,41.94,-87.74,0.0
204,413.0,45616.0,57644.0,1954.0,940.0,3589.0,1361.0,3638.0,1334.0,936.0,161300.0,41.94,-87.73,0.0
205,51.0,39643.0,52751.0,1400.0,1210.0,1647.0,982.0,1805.0,1649.0,941.0,170100.0,41.96,-87.79,0.0
206,606.0,71660.0,86674.0,1955.0,941.0,4170.0,1241.0,4178.0,1050.0,844.0,170200.0,41.95,-87.78,0.0
207,974.0,59554.0,72642.0,1655.0,1053.0,5491.0,1848.0,5496.0,1210.0,781.0,170300.0,41.95,-87.8,0.0
208,442.0,56645.0,69834.0,1874.0,1113.0,3765.0,1517.0,3765.0,1123.0,904.0,170400.0,41.95,-87.81,0.0
209,755.0,78650.0,81202.0,1848.0,1123.0,5504.0,1989.0,5504.0,1113.0,963.0,170500.0,41.95,-87.83,0.0
210,340.0,71875.0,76734.0,1886.0,981.0,2621.0,989.0,2631.0,1123.0,904.0,170600.0,41.94,-87.83,0.0
211,496.0,74414.0,83200.0,1941.0,1095.0,2941.0,1041.0,2941.0,1123.0,781.0,170700.0,41.94,-87.82,0.0
212,452.0,67391.0,72928.0,1729.0,963.0,4060.0,1424.0,4060.0,1113.0,781.0,170800.0,41.94,-87.81,0.0
213,299.0,49508.0,66221.0,1819.0,904.0,1868.0,653.0,1868.0,1113.0,781.0,170900.0,41.94,-87.81,0.0
214,1010.0,67308.0,90989.0,1804.0,1084.0,7578.0,2672.0,7597.0,1210.0,781.0,171000.0,41.94,-87.8,0.0
215,526.0,65952.0,76790.0,1764.0,976.0,3844.0,1260.0,3844.0,1117.0,844.0,171100.0,41.94,-87.78,0.0
216,634.0,59286.0,83458.0,1758.0,781.0,6136.0,2094.0,6210.0,1084.0,904.0,180100.0,41.93,-87.8,0.0
217,488.0,35565.0,46821.0,1967.0,880.0,2534.0,824.0,2534.0,1076.0,921.0,190100.0,41.94,-87.74,1.0
218,1018.0,55842.0,65709.0,1999.0,1076.0,5518.0,1499.0,5525.0,1009.0,821.0,190200.0,41.94,-87.75,0.0
219,668.0,46010.0,58020.0,1946.0,821.0,5302.0,1729.0,5302.0,1076.0,985.0,190300.0,41.93,-87.76,1.0
220,668.0,56016.0,65576.0,1816.0,1041.0,3983.0,1234.0,3983.0,1117.0,844.0,190401.0,41.93,-87.78,0.0
221,955.0,46993.0,65533.0,1852.0,1032.0,5429.0,1638.0,5434.0,1117.0,821.0,190402.0,41.93,-87.77,0.0
222,920.0,50781.0,73630.0,1744.0,1117.0,5126.0,1191.0,5126.0,1053.0,966.0,190601.0,41.93,-87.78,0.0
223,934.0,51986.0,65659.0,1863.0,1053.0,5606.0,1416.0,5867.0,1117.0,821.0,190602.0,41.93,-87.77,0.0
224,589.0,44797.0,56940.0,1908.0,1002.0,2861.0,780.0,2861.0,1053.0,821.0,190701.0,41.93,-87.76,0.0
225,901.0,40761.0,50190.0,1923.0,985.0,5177.0,1434.0,5177.0,1053.0,821.0,190702.0,41.93,-87.76,0.0
226,1259.0,42279.0,55965.0,1909.0,959.0,7216.0,2019.0,7222.0,1076.0,855.0,190800.0,41.93,-87.75,0.0
227,340.0,39706.0,55873.0,1819.0,921.0,2226.0,674.0,2226.0,1012.0,880.0,190900.0,41.93,-87.74,0.0
228,380.0,48125.0,63555.0,1738.0,994.0,2653.0,719.0,2653.0,988.0,855.0,191000.0,41.92,-87.74,1.0
229,1701.0,47750.0,52348.0,1757.0,855.0,7618.0,1999.0,7618.0,994.0,921.0,191100.0,41.92,-87.75,0.0
230,707.0,44167.0,49796.0,1746.0,951.0,3827.0,988.0,3832.0,1014.0,855.0,191200.0,41.92,-87.76,0.0
231,1144.0,42910.0,55117.0,1826.0,966.0,5677.0,1407.0,5686.0,1117.0,1000.0,191301.0,41.92,-87.78,0.0
232,1114.0,43403.0,59980.0,1807.0,1014.0,5370.0,1385.0,5370.0,1059.0,951.0,191302.0,41.92,-87.77,0.0
233,602.0,44419.0,63877.0,1748.0,970.0,4275.0,1362.0,4275.0,1050.0,880.0,200100.0,41.94,-87.74,0.0
